Transect_ID,Distance_From_North_km,Coastal_Zone,Geology,Cliff_Elevation_m,Defense_Status,Defense_Type,SMP_Policy,EPR_Erosion_Rate_m_yr,LRR_Regression_Rate_m_yr,R_Squared,Std_Error_m_yr,NSM_Total_Retreat_m,SCE_Envelope_m,Downdrift_Starvation_Index,Projected_Retreat_2050_Baseline_m,Projected_Retreat_2050_Climate_Accelerated_m,Projected_Retreat_2100_Baseline_m,Projected_Retreat_2100_Climate_Accelerated_m,Hazard_Class,Hazard_Color
84,42.2,Withernsea Defended Seafront,Withernsea Till (Dense reddish-brown glacial clay),12.0,Heavily Defended,"Recurved Concrete Seawall, Rock Revetment, Offshore Groynes",Hold the Line (HTL),0.48,0.47,0.992,0.029,17.3,18.6,0.3,11.5,13.2,35.5,46.2,Low / Defended (<1.0 m/yr),#10b981
85,42.71,Withernsea Defended Seafront,Withernsea Till (Dense reddish-brown glacial clay),13.0,Heavily Defended,"Recurved Concrete Seawall, Rock Revetment, Offshore Groynes",Hold the Line (HTL),0.53,0.51,0.979,0.053,19.1,19.8,0.3,12.7,14.6,39.2,51.0,Low / Defended (<1.0 m/yr),#10b981
86,43.21,Withernsea Defended Seafront,Withernsea Till (Dense reddish-brown glacial clay),11.0,Heavily Defended,"Recurved Concrete Seawall, Rock Revetment, Offshore Groynes",Hold the Line (HTL),0.81,0.78,0.975,0.088,29.2,31.1,0.3,19.4,22.4,59.9,77.9,Low / Defended (<1.0 m/yr),#10b981
87,43.72,Withernsea Defended Seafront,Withernsea Till (Dense reddish-brown glacial clay),10.0,Heavily Defended,"Recurved Concrete Seawall, Rock Revetment, Offshore Groynes",Hold the Line (HTL),0.61,0.6,0.996,0.026,22.0,22.5,0.3,14.6,16.8,45.1,58.7,Low / Defended (<1.0 m/yr),#10b981
88,44.23,Withernsea Defended Seafront,Withernsea Till (Dense reddish-brown glacial clay),14.0,Heavily Defended,"Recurved Concrete Seawall, Rock Revetment, Offshore Groynes",Hold the Line (HTL),0.39,0.44,0.835,0.139,14.0,15.0,0.3,9.4,10.8,28.9,37.5,Low / Defended (<1.0 m/yr),#10b981
89,44.74,Hollym / Holmpton Unprotected Cliffs,Devensian Withernsea Glacial Till,10.0,Unprotected High Erosion,None (Unprotected),No Active Intervention (NAI),2.53,2.54,1.0,0.027,91.1,96.3,0.4,60.7,69.8,187.2,243.4,High (2.0-3.0 m/yr),#f59e0b
90,45.25,Hollym / Holmpton Unprotected Cliffs,Devensian Withernsea Glacial Till,8.0,Unprotected High Erosion,None (Unprotected),No Active Intervention (NAI),2.57,2.58,1.0,0.023,92.5,98.9,0.4,61.7,70.9,190.2,247.2,High (2.0-3.0 m/yr),#f59e0b
91,45.76,Hollym / Holmpton Unprotected Cliffs,Devensian Withernsea Glacial Till,6.0,Unprotected High Erosion,None (Unprotected),No Active Intervention (NAI),2.58,2.55,0.998,0.075,92.9,99.3,0.4,61.9,71.2,190.9,248.2,High (2.0-3.0 m/yr),#f59e0b
92,46.26,Hollym / Holmpton Unprotected Cliffs,Devensian Withernsea Glacial Till,8.0,Unprotected High Erosion,None (Unprotected),No Active Intervention (NAI),2.45,2.48,0.998,0.079,88.2,90.4,0.4,58.8,67.6,181.3,235.7,High (2.0-3.0 m/yr),#f59e0b
93,46.77,Hollym / Holmpton Unprotected Cliffs,Devensian Withernsea Glacial Till,8.0,Unprotected High Erosion,None (Unprotected),No Active Intervention (NAI),2.69,2.69,0.999,0.063,96.8,99.4,0.4,64.6,74.2,199.1,258.8,High (2.0-3.0 m/yr),#f59e0b
94,47.28,Hollym / Holmpton Unprotected Cliffs,Devensian Withernsea Glacial Till,19.0,Unprotected High Erosion,None (Unprotected),No Active Intervention (NAI),2.63,2.63,1.0,0.012,94.7,99.3,0.4,63.1,72.6,194.6,253.0,High (2.0-3.0 m/yr),#f59e0b
95,47.79,Hollym / Holmpton Unprotected Cliffs,Devensian Withernsea Glacial Till,18.0,Unprotected High Erosion,None (Unprotected),No Active Intervention (NAI),2.7,2.72,0.999,0.048,97.2,104.8,0.4,64.8,74.5,199.8,259.7,High (2.0-3.0 m/yr),#f59e0b
96,48.3,Hollym / Holmpton Unprotected Cliffs,Devensian Withernsea Glacial Till,14.0,Unprotected High Erosion,None (Unprotected),No Active Intervention (NAI),2.86,2.86,0.999,0.062,103.0,110.4,0.4,68.6,78.9,211.6,275.1,High (2.0-3.0 m/yr),#f59e0b
97,48.81,Hollym / Holmpton Unprotected Cliffs,Devensian Withernsea Glacial Till,19.0,Unprotected High Erosion,None (Unprotected),No Active Intervention (NAI),2.68,2.68,1.0,0.004,96.5,104.0,0.4,64.3,74.0,198.3,257.8,High (2.0-3.0 m/yr),#f59e0b
98,49.32,Hollym / Holmpton Unprotected Cliffs,Devensian Withernsea Glacial Till,20.0,Unprotected High Erosion,None (Unprotected),No Active Intervention (NAI),2.54,2.52,0.997,0.09,91.4,97.0,0.4,61.0,70.1,188.0,244.3,High (2.0-3.0 m/yr),#f59e0b
99,49.82,Hollym / Holmpton Unprotected Cliffs,Devensian Withernsea Glacial Till,22.0,Unprotected High Erosion,None (Unprotected),No Active Intervention (NAI),2.95,2.97,0.999,0.06,106.2,108.6,0.4,70.8,81.4,218.3,283.8,High (2.0-3.0 m/yr),#f59e0b
100,50.33,Easington Gas Terminal Frontage,Withernsea Till & Low Alluvial Platform,20.0,Critical Asset Defense / Surrounding Hotspot,Rock Armor Revetment at Terminal / Unprotected Margins,Hold the Line (Gas Terminal) / NAI (Cliffs),1.98,2.0,0.999,0.049,71.3,75.4,0.35,47.5,54.6,146.5,190.5,Moderate (1.0-2.0 m/yr),#38bdf8
101,50.84,Easington Gas Terminal Frontage,Withernsea Till & Low Alluvial Platform,15.0,Critical Asset Defense / Surrounding Hotspot,Rock Armor Revetment at Terminal / Unprotected Margins,Hold the Line (Gas Terminal) / NAI (Cliffs),1.83,1.8,0.994,0.1,65.9,69.5,0.35,43.9,50.5,135.4,176.0,Moderate (1.0-2.0 m/yr),#38bdf8
102,51.35,Easington Gas Terminal Frontage,Withernsea Till & Low Alluvial Platform,12.0,Critical Asset Defense / Surrounding Hotspot,Rock Armor Revetment at Terminal / Unprotected Margins,Hold the Line (Gas Terminal) / NAI (Cliffs),1.88,1.91,0.996,0.085,67.7,72.4,0.35,45.1,51.9,139.1,180.9,Moderate (1.0-2.0 m/yr),#38bdf8
103,51.86,Easington Gas Terminal Frontage,Withernsea Till & Low Alluvial Platform,8.0,Critical Asset Defense / Surrounding Hotspot,Rock Armor Revetment at Terminal / Unprotected Margins,Hold the Line (Gas Terminal) / NAI (Cliffs),1.82,1.79,0.997,0.073,65.5,70.5,0.35,43.7,50.2,134.7,175.1,Moderate (1.0-2.0 m/yr),#38bdf8
104,52.37,Easington Gas Terminal Frontage,Withernsea Till & Low Alluvial Platform,3.0,Critical Asset Defense / Surrounding Hotspot,Rock Armor Revetment at Terminal / Unprotected Margins,Hold the Line (Gas Terminal) / NAI (Cliffs),2.21,2.21,1.0,0.014,79.6,85.1,0.35,53.0,61.0,163.5,212.6,High (2.0-3.0 m/yr),#f59e0b
105,52.87,Easington Gas Terminal Frontage,Withernsea Till & Low Alluvial Platform,3.0,Critical Asset Defense / Surrounding Hotspot,Rock Armor Revetment at Terminal / Unprotected Margins,Hold the Line (Gas Terminal) / NAI (Cliffs),1.71,1.69,0.998,0.057,61.6,64.4,0.35,41.0,47.2,126.5,164.5,Moderate (1.0-2.0 m/yr),#38bdf8
106,53.38,Easington Gas Terminal Frontage,Withernsea Till & Low Alluvial Platform,1.0,Critical Asset Defense / Surrounding Hotspot,Rock Armor Revetment at Terminal / Unprotected Margins,Hold the Line (Gas Terminal) / NAI (Cliffs),2.12,2.12,1.0,0.004,76.3,81.8,0.35,50.9,58.5,156.9,203.9,High (2.0-3.0 m/yr),#f59e0b
107,53.89,Easington Gas Terminal Frontage,Withernsea Till & Low Alluvial Platform,2.0,Critical Asset Defense / Surrounding Hotspot,Rock Armor Revetment at Terminal / Unprotected Margins,Hold the Line (Gas Terminal) / NAI (Cliffs),1.95,1.94,1.0,0.023,70.2,73.5,0.35,46.8,53.8,144.3,187.6,Moderate (1.0-2.0 m/yr),#38bdf8
108,54.4,Kilnsea Breached Shoreline,Low-lying glacial sediment and gravel barrier,5.0,Vulnerable Overwash / Active Retreat,Degraded Historic Revetments / Flood Banks,Managed Realignment (MR),2.94,2.96,0.999,0.069,105.8,112.2,0.5,70.6,81.1,217.6,282.8,High (2.0-3.0 m/yr),#f59e0b
109,54.91,Kilnsea Breached Shoreline,Low-lying glacial sediment and gravel barrier,6.0,Vulnerable Overwash / Active Retreat,Degraded Historic Revetments / Flood Banks,Managed Realignment (MR),2.64,2.63,0.999,0.05,95.0,99.9,0.5,63.4,72.9,195.4,254.0,High (2.0-3.0 m/yr),#f59e0b
110,55.42,Kilnsea Breached Shoreline,Low-lying glacial sediment and gravel barrier,2.0,Vulnerable Overwash / Active Retreat,Degraded Historic Revetments / Flood Banks,Managed Realignment (MR),2.75,2.78,0.999,0.075,99.0,106.0,0.5,66.0,75.9,203.5,264.6,High (2.0-3.0 m/yr),#f59e0b
111,55.92,Kilnsea Breached Shoreline,Low-lying glacial sediment and gravel barrier,0.0,Vulnerable Overwash / Active Retreat,Degraded Historic Revetments / Flood Banks,Managed Realignment (MR),3.14,3.12,0.999,0.077,113.0,116.2,0.5,75.4,86.7,232.4,302.1,Extreme (>3.0 m/yr),#f43f5e
112,56.43,Kilnsea Breached Shoreline,Low-lying glacial sediment and gravel barrier,0.0,Vulnerable Overwash / Active Retreat,Degraded Historic Revetments / Flood Banks,Managed Realignment (MR),2.99,2.99,0.999,0.064,107.6,111.1,0.5,71.8,82.5,221.3,287.6,High (2.0-3.0 m/yr),#f59e0b
113,56.94,Kilnsea Breached Shoreline,Low-lying glacial sediment and gravel barrier,0.0,Vulnerable Overwash / Active Retreat,Degraded Historic Revetments / Flood Banks,Managed Realignment (MR),3.0,3.0,0.999,0.078,108.0,116.0,0.5,72.0,82.8,222.0,288.6,Extreme (>3.0 m/yr),#f43f5e
114,57.45,Spurn Head Sand Spit,Holocene Marine & Estuarine Sand/Shingle Spit,0.0,Dynamic Barrier Spit (Yorkshire Wildlife Trust),Dynamic Natural Barrier Spit (Post-2013 Breach Adaptation),Managed Adaptation / NAI,1.46,1.42,0.988,0.11,52.6,56.1,0.65,35.0,40.3,108.0,140.5,Moderate (1.0-2.0 m/yr),#38bdf8
115,57.96,Spurn Head Sand Spit,Holocene Marine & Estuarine Sand/Shingle Spit,0.0,Dynamic Barrier Spit (Yorkshire Wildlife Trust),Dynamic Natural Barrier Spit (Post-2013 Breach Adaptation),Managed Adaptation / NAI,1.98,1.96,0.996,0.086,71.3,74.7,0.65,47.5,54.6,146.5,190.5,Moderate (1.0-2.0 m/yr),#38bdf8
116,58.47,Spurn Head Sand Spit,Holocene Marine & Estuarine Sand/Shingle Spit,0.0,Dynamic Barrier Spit (Yorkshire Wildlife Trust),Dynamic Natural Barrier Spit (Post-2013 Breach Adaptation),Managed Adaptation / NAI,1.74,1.75,1.0,0.02,62.6,65.1,0.65,41.8,48.0,128.8,167.4,Moderate (1.0-2.0 m/yr),#38bdf8
117,58.97,Spurn Head Sand Spit,Holocene Marine & Estuarine Sand/Shingle Spit,0.0,Dynamic Barrier Spit (Yorkshire Wildlife Trust),Dynamic Natural Barrier Spit (Post-2013 Breach Adaptation),Managed Adaptation / NAI,1.57,1.57,0.999,0.028,56.5,58.2,0.65,37.7,43.3,116.2,151.0,Moderate (1.0-2.0 m/yr),#38bdf8
118,59.48,Spurn Head Sand Spit,Holocene Marine & Estuarine Sand/Shingle Spit,0.0,Dynamic Barrier Spit (Yorkshire Wildlife Trust),Dynamic Natural Barrier Spit (Post-2013 Breach Adaptation),Managed Adaptation / NAI,1.62,1.61,0.999,0.037,58.3,61.1,0.65,38.9,44.7,119.9,155.8,Moderate (1.0-2.0 m/yr),#38bdf8
119,59.99,Spurn Head Sand Spit,Holocene Marine & Estuarine Sand/Shingle Spit,0.0,Dynamic Barrier Spit (Yorkshire Wildlife Trust),Dynamic Natural Barrier Spit (Post-2013 Breach Adaptation),Managed Adaptation / NAI,1.61,1.6,0.999,0.038,58.0,59.8,0.65,38.6,44.4,119.1,154.9,Moderate (1.0-2.0 m/yr),#38bdf8
120,60.5,Spurn Head Sand Spit,Holocene Marine & Estuarine Sand/Shingle Spit,0.0,Dynamic Barrier Spit (Yorkshire Wildlife Trust),Dynamic Natural Barrier Spit (Post-2013 Breach Adaptation),Managed Adaptation / NAI,1.64,1.65,0.998,0.056,59.0,61.5,0.65,39.4,45.3,121.4,157.8,Moderate (1.0-2.0 m/yr),#38bdf8
